"STATION","NAME","DATE","PRCP","TMAX","TMIN", "PRICES"
"SWE00137534","MALMO A, SW","2010-01-01","0.00","22","14"
"SWE00137534","MALMO A, SW","2010-01-02","0.00","26","19"
"SWE00137534","MALMO A, SW","2010-01-03","0.00","20","9"
"SWE00137534","MALMO A, SW","2010-01-04","0.06","32","13"
"SWE00137534","MALMO A, SW","2010-01-05","0.06","33","29"
"SWE00137534","MALMO A, SW","2010-01-06","0.00","31","24"
"SWE00137534","MALMO A, SW","2010-01-07","0.00","25","18"
"SWE00137534","MALMO A, SW","2010-01-08","0.00","22","11"
"SWE00137534","MALMO A, SW","2010-01-09","0.00","27","10"
"SWE00137534","MALMO A, SW","2010-01-10","0.00","32","26"
"SWE00137534","MALMO A, SW","2010-01-11","0.00","33","27"
"SWE00137534","MALMO A, SW","2010-01-12","0.05","33","30"
"SWE00137534","MALMO A, SW","2010-01-13","0.00","35","32"
"SWE00137534","MALMO A, SW","2010-01-14","0.00","34","27"
"SWE00137534","MALMO A, SW","2010-01-15","0.00","31","27"
"SWE00137534","MALMO A, SW","2010-01-16","0.00","30","27"
"SWE00137534","MALMO A, SW","2010-01-17","0.05","30","26"
"SWE00137534","MALMO A, SW","2010-01-18","0.00","33","28"
"SWE00137534","MALMO A, SW","2010-01-19","0.00","31","28"
"SWE00137534","MALMO A, SW","2010-01-20","0.06","33","23"
"SWE00137534","MALMO A, SW","2010-01-21","0.00","33","26"
"SWE00137534","MALMO A, SW","2010-01-22","0.00","31","28"
"SWE00137534","MALMO A, SW","2010-01-23","0.00","28","20"
"SWE00137534","MALMO A, SW","2010-01-24","0.00","26","18"
"SWE00137534","MALMO A, SW","2010-01-25","0.00","27","12"
"SWE00137534","MALMO A, SW","2010-01-26","0.00","29","6"
"SWE00137534","MALMO A, SW","2010-01-27","0.41","29","23"
"SWE00137534","MALMO A, SW","2010-01-28","0.00","37","29"
"SWE00137534","MALMO A, SW","2010-01-29","0.13","31","14"
"SWE00137534","MALMO A, SW","2010-01-30","0.03","27","14"
"SWE00137534","MALMO A, SW","2010-01-31","0.15","32","3"
"SWE00137534","MALMO A, SW","2010-02-01","0.00","34","26"
"SWE00137534","MALMO A, SW","2010-02-02","0.33","31","21"
"SWE00137534","MALMO A, SW","2010-02-03","0.01","33","29"
"SWE00137534","MALMO A, SW","2010-02-04","0.00","32","22"
"SWE00137534","MALMO A, SW","2010-02-05","0.00","36","21"
"SWE00137534","MALMO A, SW","2010-02-06","0.00","33","28"
"SWE00137534","MALMO A, SW","2010-02-07","0.00","29","26"
"SWE00137534","MALMO A, SW","2010-02-08","0.00","26","20"
"SWE00137534","MALMO A, SW","2010-02-09","0.01","29","23"
"SWE00137534","MALMO A, SW","2010-02-10","0.00","31","24"
"SWE00137534","MALMO A, SW","2010-02-11","0.00","29","14"
"SWE00137534","MALMO A, SW","2010-02-12","0.09","26","18"
"SWE00137534","MALMO A, SW","2010-02-13","0.01","28","24"
"SWE00137534","MALMO A, SW","2010-02-14","0.00","29","25"
"SWE00137534","MALMO A, SW","2010-02-15","0.02","31","25"
"SWE00137534","MALMO A, SW","2010-02-16","0.02","32","26"
"SWE00137534","MALMO A, SW","2010-02-17","0.00","32","29"
"SWE00137534","MALMO A, SW","2010-02-18","0.10","33","29"
"SWE00137534","MALMO A, SW","2010-02-19","0.32","36","31"
"SWE00137534","MALMO A, SW","2010-02-20","0.03","37","32"
"SWE00137534","MALMO A, SW","2010-02-21","0.02","33","22"
"SWE00137534","MALMO A, SW","2010-02-22","0.15","32","18"
"SWE00137534","MALMO A, SW","2010-02-23","0.00","31","26"
"SWE00137534","MALMO A, SW","2010-02-24","0.01","32","18"
"SWE00137534","MALMO A, SW","2010-02-25","0.20","35","31"
"SWE00137534","MALMO A, SW","2010-02-26","0.02","40","35"
"SWE00137534","MALMO A, SW","2010-02-27","0.07","38","35"
"SWE00137534","MALMO A, SW","2010-02-28","0.21","40","34"
"SWE00137534","MALMO A, SW","2010-03-01","0.02","38","33"
"SWE00137534","MALMO A, SW","2010-03-02","0.02","38","31"
"SWE00137534","MALMO A, SW","2010-03-03","0.00","39","29"
"SWE00137534","MALMO A, SW","2010-03-04","0.00","32","21"
"SWE00137534","MALMO A, SW","2010-03-05","0.00","31","17"
"SWE00137534","MALMO A, SW","2010-03-06","0.00","36","19"
"SWE00137534","MALMO A, SW","2010-03-07","0.00","37","28"
"SWE00137534","MALMO A, SW","2010-03-08","0.00","35","19"
"SWE00137534","MALMO A, SW","2010-03-09","0.00","30","21"
"SWE00137534","MALMO A, SW","2010-03-10","0.00","30","27"
"SWE00137534","MALMO A, SW","2010-03-11","0.00","34","28"
"SWE00137534","MALMO A, SW","2010-03-12","0.02","38","33"
"SWE00137534","MALMO A, SW","2010-03-13","0.07","42","29"
"SWE00137534","MALMO A, SW","2010-03-14","0.00","40","33"
"SWE00137534","MALMO A, SW","2010-03-15","0.00","40","26"
"SWE00137534","MALMO A, SW","2010-03-16","0.00","40","25"
"SWE00137534","MALMO A, SW","2010-03-17","0.00","44","30"
"SWE00137534","MALMO A, SW","2010-03-18","0.00","51","34"
"SWE00137534","MALMO A, SW","2010-03-19","0.02","48","39"
"SWE00137534","MALMO A, SW","2010-03-20","0.45","47","39"
"SWE00137534","MALMO A, SW","2010-03-21","0.00","49","42"
"SWE00137534","MALMO A, SW","2010-03-22","0.00","46","38"
"SWE00137534","MALMO A, SW","2010-03-23","0.05","49","37"
"SWE00137534","MALMO A, SW","2010-03-24","0.00","48","33"
"SWE00137534","MALMO A, SW","2010-03-25","0.00","58","37"
"SWE00137534","MALMO A, SW","2010-03-26","0.23","64","39"
"SWE00137534","MALMO A, SW","2010-03-27","0.22","53","40"
"SWE00137534","MALMO A, SW","2010-03-28","0.00","48","41"
"SWE00137534","MALMO A, SW","2010-03-29","0.00","46","40"
"SWE00137534","MALMO A, SW","2010-03-30","0.11","52","29"
"SWE00137534","MALMO A, SW","2010-03-31","0.09","51","43"
"SWE00137534","MALMO A, SW","2010-04-01","0.00","47","37"
"SWE00137534","MALMO A, SW","2010-04-02","0.00","49","36"
"SWE00137534","MALMO A, SW","2010-04-03","0.00","48","34"
"SWE00137534","MALMO A, SW","2010-04-04","0.39","44","38"
"SWE00137534","MALMO A, SW","2010-04-05","0.05","48","37"
"SWE00137534","MALMO A, SW","2010-04-06","0.00","51","35"
"SWE00137534","MALMO A, SW","2010-04-07","0.00","53","37"
"SWE00137534","MALMO A, SW","2010-04-08","0.04","53","39"
"SWE00137534","MALMO A, SW","2010-04-09","0.00","52","39"
"SWE00137534","MALMO A, SW","2010-04-10","0.00","51","40"
"SWE00137534","MALMO A, SW","2010-04-11","0.00","57","42"
"SWE00137534","MALMO A, SW","2010-04-12","0.00","56","36"
"SWE00137534","MALMO A, SW","2010-04-13","0.00","56","33"
"SWE00137534","MALMO A, SW","2010-04-14","0.00","58","35"
"SWE00137534","MALMO A, SW","2010-04-15","0.00","57","30"
"SWE00137534","MALMO A, SW","2010-04-16","0.00","52","42"
"SWE00137534","MALMO A, SW","2010-04-17","0.00","52","37"
"SWE00137534","MALMO A, SW","2010-04-18","0.00","57","41"
"SWE00137534","MALMO A, SW","2010-04-19","0.00","50","38"
"SWE00137534","MALMO A, SW","2010-04-20","0.19","48","31"
"SWE00137534","MALMO A, SW","2010-04-21","0.13","46","37"
"SWE00137534","MALMO A, SW","2010-04-22","0.02","51","36"
"SWE00137534","MALMO A, SW","2010-04-23","0.04","50","38"
"SWE00137534","MALMO A, SW","2010-04-24","0.00","51","38"
"SWE00137534","MALMO A, SW","2010-04-25","0.00","56","30"
"SWE00137534","MALMO A, SW","2010-04-26","0.00","62","42"
"SWE00137534","MALMO A, SW","2010-04-27","0.00","58","46"
"SWE00137534","MALMO A, SW","2010-04-28","0.00","61","45"
"SWE00137534","MALMO A, SW","2010-04-29","0.00","67","50"
"SWE00137534","MALMO A, SW","2010-04-30","0.06","62","46"
"SWE00137534","MALMO A, SW","2010-05-01","0.00","58","47"
"SWE00137534","MALMO A, SW","2010-05-02","0.00","56","41"
"SWE00137534","MALMO A, SW","2010-05-03","0.00","53","34"
"SWE00137534","MALMO A, SW","2010-05-04","0.00","53","42"
"SWE00137534","MALMO A, SW","2010-05-05","0.00","54","40"
"SWE00137534","MALMO A, SW","2010-05-06","0.02","50","33"
"SWE00137534","MALMO A, SW","2010-05-07","0.13","47","41"
"SWE00137534","MALMO A, SW","2010-05-08","0.00","46","40"
"SWE00137534","MALMO A, SW","2010-05-09","0.00","51","43"
"SWE00137534","MALMO A, SW","2010-05-10","0.00","53","43"
"SWE00137534","MALMO A, SW","2010-05-11","0.09","55","39"
"SWE00137534","MALMO A, SW","2010-05-12","0.61","50","38"
"SWE00137534","MALMO A, SW","2010-05-13","0.00","53","45"
"SWE00137534","MALMO A, SW","2010-05-14","0.00","51","46"
"SWE00137534","MALMO A, SW","2010-05-15","0.53","51","46"
"SWE00137534","MALMO A, SW","2010-05-16","0.01","54","44"
"SWE00137534","MALMO A, SW","2010-05-17","0.00","58","47"
"SWE00137534","MALMO A, SW","2010-05-18","0.00","61","48"
"SWE00137534","MALMO A, SW","2010-05-19","0.00","71","51"
"SWE00137534","MALMO A, SW","2010-05-20","0.00","71","53"
"SWE00137534","MALMO A, SW","2010-05-21","0.04","69","53"
