name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Copenhagen,2021-05-01,10.4,4,7.8,10.4,2.4,6.3,1.6,67.8,0,0,0,,0,0,18,16.8,143.3,1016.1,46.9,46.6,248.9,21.4,7,,2021-05-01T05:26:51,2021-05-01T20:48:09,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06180099999,02615099999,06174099999,E5732,06170099999,02611099999,06188099999,02635099999"
Copenhagen,2021-05-02,11.8,4.2,7.9,11.8,1.8,6.5,0.6,61.4,0,0,0,,0,0,32.4,19.4,105.9,1013.8,59.5,55.8,211,18.2,7,,2021-05-02T05:24:39,2021-05-02T20:50:07,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06180099999,02615099999,06174099999,E5732,06170099999,02611099999,06188099999,02635099999"
Copenhagen,2021-05-03,9.8,4.1,6.9,7.3,1.9,5.1,3.6,80.8,3.031,100,45.83,rain,0,0,42,21.2,254.4,1012.7,75.1,33.3,85.1,7.5,3,,2021-05-03T05:22:28,2021-05-03T20:52:06,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06180099999,02615099999,06174099999,E5732,06170099999,02611099999,C3540,06188099999,02635099999,06156099999"
Copenhagen,2021-05-04,9.3,5.4,7.3,6,2.2,3.7,5.4,88.1,6.515,100,66.67,rain,0,0,45.1,35,160.2,997.5,91.5,27.4,47.8,4,3,,2021-05-04T05:20:19,2021-05-04T20:54:04,0.75,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06180099999,02615099999,06174099999,E5732,06170099999,06188099999,02635099999"
Copenhagen,2021-05-05,8.1,6.1,7.2,4.9,1.9,3.3,5.7,90.6,6.242,100,83.33,rain,0,0,55.2,33.2,223.4,988.1,96.9,26.9,84.9,7.4,4,,2021-05-05T05:18:11,2021-05-05T20:56:01,0.78,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06180099999,02615099999,06174099999,E5732,06170099999,06188099999,02635099999"
Copenhagen,2021-05-06,8.6,4.3,6.4,5.7,1.2,2.7,3.4,81.8,1.213,100,58.33,rain,0,0,56.2,30.5,265.2,998.3,91.1,51.2,106.1,9,4,,2021-05-06T05:16:04,2021-05-06T20:57:58,0.82,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06180099999,02615099999,06174099999,E5732,06170099999,C3540,06188099999,02635099999"
Copenhagen,2021-05-07,9.2,3.5,6.1,8.2,0.7,3.5,3,81.4,3.935,100,45.83,rain,0,0,40.7,22.3,280.2,1006.1,73.4,47.9,165.6,14.2,6,,2021-05-07T05:14:00,2021-05-07T20:59:55,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06180099999,02615099999,06174099999,E5732,06170099999,02611099999,06188099999,02635099999"
Copenhagen,2021-05-08,11.4,3.4,7.8,11.4,0.2,5.8,2.8,72.4,0.439,100,12.5,rain,0,0,42.5,24.1,235.9,1013.8,46.2,40.9,210.9,18.3,8,,2021-05-08T05:11:57,2021-05-08T21:01:51,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"06180099999,02615099999,06174099999,E5732,06170099999,02611099999,06188099999,02635099999"
Copenhagen,2021-05-09,17.6,7.3,12,17.6,2.9,10.5,8,77.1,5.094,100,33.33,rain,0,0,47.1,31.6,158.5,1007.4,63.6,33.5,225,19.2,7,,2021-05-09T05:09:55,2021-05-09T21:03:46,0.92,"Rain, Partially cloudy",Clearing in the afternoon with rain.,rain,"06180099999,02615099999,06174099999,E7634,E5732,06170099999,C3540,06188099999,02635099999"
Copenhagen,2021-05-10,19.5,12.1,15.6,19.5,12.1,15.6,9.7,68.3,0.003,100,4.17,rain,0,0,33.9,28.2,153.6,1005.8,42.3,49.1,183,15.9,7,,2021-05-10T05:07:56,2021-05-10T21:05:40,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"06180099999,02615099999,06174099999,E5732,06170099999,02611099999,06188099999,02635099999"
Copenhagen,2021-05-11,15.4,12.4,13.6,15.4,12.4,13.6,10.4,81.5,1.209,100,20.83,rain,0,0,55,34.7,344.9,1009.4,71.6,47.2,101.8,8.8,3,,2021-05-11T05:05:58,2021-05-11T21:07:34,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"06180099999,02615099999,06174099999,E5732,06170099999,C3540,06188099999,02635099999"
Copenhagen,2021-05-12,15.8,12.1,13.5,15.8,12.1,13.5,11.2,86.5,0.833,100,12.5,rain,0,0,42.7,26.5,303,1005.9,81.7,30.5,168.2,14.6,7,,2021-05-12T05:04:03,2021-05-12T21:09:27,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"06180099999,02615099999,06174099999,E5732,06170099999,06188099999,02635099999"
Copenhagen,2021-05-13,15.3,11,12.7,15.3,11,12.7,10.8,88.5,0.951,100,20.83,rain,0,0,32.4,25.9,346.7,1005.4,76,22.1,146.1,12.6,6,,2021-05-13T05:02:09,2021-05-13T21:11:19,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06180099999,02615099999,06174099999,E5732,02623099999,06170099999,02611099999,06188099999,02635099999,EKCH,EKRK"
Copenhagen,2021-05-14,15.6,9.7,12.2,15.6,8.5,12,8.7,80.4,0.003,100,4.17,rain,0,0,,16.7,163.4,1003.7,79.8,33.7,144.3,12.5,6,,2021-05-14T05:00:17,2021-05-14T21:13:10,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"06180099999,02615099999,06174099999,E7634,E5732,06170099999,06188099999,02635099999"
